Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
2,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,1A,A+,Found Us Air Force
4,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,1A,A,Found Us Air Force
5,Mack-Jan Spencer; Mariko Boone,3.7,Aerospace Studies,1A,A-,Found Us Air Force
6,Mack-Jan Spencer; Mariko Boone,3.3,Aerospace Studies,1A,B+,Found Us Air Force
2,Mack-Jan Spencer; Mariko Boone,3,Aerospace Studies,1A,B,Found Us Air Force
3,Mack-Jan Spencer; Mariko Boone,2.7,Aerospace Studies,1A,B-,Found Us Air Force
1,Mack-Jan Spencer; Mariko Boone,2.3,Aerospace Studies,1A,C+,Found Us Air Force
1,Mack-Jan Spencer; Mariko Boone,2,Aerospace Studies,1A,C,Found Us Air Force
12,Mack-Jan Spencer; Mariko Boone,0,Aerospace Studies,1A,F,Found Us Air Force
4,Harold Eggers; Mack-Jan Spencer,4,Aerospace Studies,2A,A+,Evolut Of Air Power
5,Harold Eggers; Mack-Jan Spencer,4,Aerospace Studies,2A,A,Evolut Of Air Power
2,Harold Eggers; Mack-Jan Spencer,3.7,Aerospace Studies,2A,A-,Evolut Of Air Power
1,Harold Eggers; Mack-Jan Spencer,3.3,Aerospace Studies,2A,B+,Evolut Of Air Power
1,Harold Eggers; Mack-Jan Spencer,3,Aerospace Studies,2A,B,Evolut Of Air Power
1,Harold Eggers; Mack-Jan Spencer,2.7,Aerospace Studies,2A,B-,Evolut Of Air Power
2,Harold Eggers; Mack-Jan Spencer,2.3,Aerospace Studies,2A,C+,Evolut Of Air Power
1,Harold Eggers; Mack-Jan Spencer,2,Aerospace Studies,2A,C,Evolut Of Air Power
5,Harold Eggers; Mack-Jan Spencer,0,Aerospace Studies,2A,F,Evolut Of Air Power
47,Mack-Jan Spencer; Mariko Boone,,Aerospace Studies,100,Pass,Leadership Lab
12,Mack-Jan Spencer; Mariko Boone,,Aerospace Studies,100,Not Pass,Leadership Lab
1,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,135A,A+,Air Force Studies
3,Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,135A,A,Air Force Studies
2,Mack-Jan Spencer; Mariko Boone,3.7,Aerospace Studies,135A,A-,Air Force Studies
2,Mack-Jan Spencer; Mariko Boone,3,Aerospace Studies,135A,B,Air Force Studies
2,Lia Bascomb; Nailah Suad-Bakari,4,African American Studies,R1A,A,Fresh Composition
2,Lia Bascomb; Nailah Suad-Bakari,3.7,African American Studies,R1A,A-,Fresh Composition
4,Lia Bascomb; Nailah Suad-Bakari,3.3,African American Studies,R1A,B+,Fresh Composition
3,Lia Bascomb; Nailah Suad-Bakari,3,African American Studies,R1A,B,Fresh Composition
2,Lia Bascomb; Nailah Suad-Bakari,2.7,African American Studies,R1A,B-,Fresh Composition
