Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
3,Amber Henson,4,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
1,Amber Henson,4,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
3,Amber Henson,3.7,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
4,Amber Henson,3.3,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
1,Amber Henson,2.3,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
1,Amber Henson,,Aerospace Studies,2B,Non-Letter Grade,Evolut Of Air Power
4,Amber Henson,4,Aerospace Studies,24,Letter Grade,Freshman Seminars
3,Amber Henson,4,Aerospace Studies,24,Letter Grade,Freshman Seminars
1,Amber Henson,3.7,Aerospace Studies,24,Letter Grade,Freshman Seminars
1,Amber Henson,3.3,Aerospace Studies,24,Letter Grade,Freshman Seminars
3,Amber Henson,0,Aerospace Studies,24,Letter Grade,Freshman Seminars
26,Vincent Lau,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
2,Vincent Lau,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
1,Bradford Jensen,4,Aerospace Studies,135B,Letter Grade,Air Force Studies
3,Bradford Jensen,4,Aerospace Studies,135B,Letter Grade,Air Force Studies
2,Bradford Jensen,3.7,Aerospace Studies,135B,Letter Grade,Air Force Studies
3,Bradford Jensen,3.3,Aerospace Studies,135B,Letter Grade,Air Force Studies
1,Bradford Jensen,2.7,Aerospace Studies,135B,Letter Grade,Air Force Studies
4,Donnett Flash,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
3,Donnett Flash,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
10,Donnett Flash,3,African American Studies,R1A,Letter Grade,Fresh Composition
5,Donnett Flash,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
1,Donnett Flash,2.3,African American Studies,R1A,Letter Grade,Fresh Composition
3,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
10,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
5,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
