Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
2,Kathryn Parker,4,Aerospace Studies,1B,A,Found Us Air Force
5,Kathryn Parker,3.7,Aerospace Studies,1B,A-,Found Us Air Force
3,Kathryn Parker,3.3,Aerospace Studies,1B,B+,Found Us Air Force
1,Kathryn Parker,3,Aerospace Studies,1B,B,Found Us Air Force
1,Kathryn Parker,2.7,Aerospace Studies,1B,B-,Found Us Air Force
3,Kathryn Parker,2.3,Aerospace Studies,1B,C+,Found Us Air Force
3,Kathryn Parker,2,Aerospace Studies,1B,C,Found Us Air Force
2,Kathryn Parker,0,Aerospace Studies,1B,F,Found Us Air Force
1,Kathryn Parker,,Aerospace Studies,1B,Not Pass,Found Us Air Force
4,Kathryn Parker,4,Aerospace Studies,2B,A+,Evolut Of Air Power
2,Kathryn Parker,4,Aerospace Studies,2B,A,Evolut Of Air Power
4,Kathryn Parker,3.7,Aerospace Studies,2B,A-,Evolut Of Air Power
2,Kathryn Parker,3.3,Aerospace Studies,2B,B+,Evolut Of Air Power
1,Kathryn Parker,2.3,Aerospace Studies,2B,C+,Evolut Of Air Power
1,Kathryn Parker,1.3,Aerospace Studies,2B,D+,Evolut Of Air Power
1,Kathryn Parker,0,Aerospace Studies,2B,F,Evolut Of Air Power
1,Kathryn Parker,,Aerospace Studies,2B,Pass,Evolut Of Air Power
1,Kathryn Parker,,Aerospace Studies,2B,Not Pass,Evolut Of Air Power
30,Charles Rice,,Aerospace Studies,100,Pass,Leadership Lab
1,Charles Rice,,Aerospace Studies,100,Pass,Leadership Lab
3,Charles Rice,,Aerospace Studies,100,Not Pass,Leadership Lab
5,Charles Rice,4,Aerospace Studies,135B,A+,Air Force Studies
1,Charles Rice,4,Aerospace Studies,135B,A,Air Force Studies
1,Charles Rice,3.7,Aerospace Studies,135B,A-,Air Force Studies
3,Aparajita Nanda,4,African American Studies,R1A,A,Fresh Composition
4,Aparajita Nanda,3.7,African American Studies,R1A,A-,Fresh Composition
5,Aparajita Nanda,3.3,African American Studies,R1A,B+,Fresh Composition
3,Aparajita Nanda,3,African American Studies,R1A,B,Fresh Composition
2,Aparajita Nanda,2.7,African American Studies,R1A,B-,Fresh Composition
1,Aparajita Nanda,0,African American Studies,R1A,F,Fresh Composition
1,Aparajita Nanda,4,African American Studies,R1B,A+,Freshmn Composition
2,Aparajita Nanda,4,African American Studies,R1B,A,Freshmn Composition
2,Aparajita Nanda,3.7,African American Studies,R1B,A-,Freshmn Composition
4,Aparajita Nanda,3.3,African American Studies,R1B,B+,Freshmn Composition
3,Aparajita Nanda,3,African American Studies,R1B,B,Freshmn Composition
1,Aparajita Nanda,2.7,African American Studies,R1B,B-,Freshmn Composition
3,Aparajita Nanda,2,African American Studies,R1B,C,Freshmn Composition
1,Aparajita Nanda,0,African American Studies,R1B,F,Freshmn Composition
10,G. Ugo Nwokeji,4,African American Studies,4B,A,Africa:  Hist & Cul
23,G. Ugo Nwokeji,3.7,African American Studies,4B,A-,Africa:  Hist & Cul
10,G. Ugo Nwokeji,3.3,African American Studies,4B,B+,Africa:  Hist & Cul
7,G. Ugo Nwokeji,3,African American Studies,4B,B,Africa:  Hist & Cul
1,G. Ugo Nwokeji,2.7,African American Studies,4B,B-,Africa:  Hist & Cul
2,G. Ugo Nwokeji,2.3,African American Studies,4B,C+,Africa:  Hist & Cul
1,G. Ugo Nwokeji,1.7,African American Studies,4B,C-,Africa:  Hist & Cul
