Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
1,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
4,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
7,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
5,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
3,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
2,Luisa Giulianetti; Ula Taylor,4,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
8,Luisa Giulianetti; Ula Taylor,3.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
2,Luisa Giulianetti; Ula Taylor,3.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
3,Luisa Giulianetti; Ula Taylor,3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
2,Luisa Giulianetti; Ula Taylor,2.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,Luisa Giulianetti; Ula Taylor,0.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
4,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,2,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,1.7,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,,African American Studies,R1B,Non-Letter Grade,Freshmn Composition
4,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,G. Ugo Nwokeji,3.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
8,G. Ugo Nwokeji,3.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,G. Ugo Nwokeji,3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,G. Ugo Nwokeji,2.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,1.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,1.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,0,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
6,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
9,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
12,Arif Gamal,3.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
5,Arif Gamal,3.3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
4,Arif Gamal,3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
4,Percy Hintzen,4,African American Studies,N131,Letter Grade,Carib Soc:  Cultures
5,Percy Hintzen,3.7,African American Studies,N131,Letter Grade,Carib Soc:  Cultures
3,Percy Hintzen,3.3,African American Studies,N131,Letter Grade,Carib Soc:  Cultures
4,Percy Hintzen,3,African American Studies,N131,Letter Grade,Carib Soc:  Cultures
6,Percy Hintzen,,African American Studies,N131,Non-Letter Grade,Carib Soc:  Cultures
3,Charles Henry; Ronald Williams,4,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Charles Henry; Ronald Williams,3.3,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Charles Henry; Ronald Williams,2.7,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Charles Henry; Ronald Williams,,African American Studies,139,Non-Letter Grade,Sel Top:Africam Soc
1,Charles Henry; Ronald Williams,,African American Studies,139,Non-Letter Grade,Sel Top:Africam Soc
5,Percy Hintzen,4,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Percy Hintzen,3.3,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Percy Hintzen,3,African American Studies,139,Letter Grade,Sel Top:Africam Soc
6,Percy Hintzen,2.7,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Percy Hintzen,2.3,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Percy Hintzen,2,African American Studies,139,Letter Grade,Sel Top:Africam Soc
5,Percy Hintzen,,African American Studies,139,Non-Letter Grade,Sel Top:Africam Soc
3,Frederick Vincent; Robert Allen,4,African American Studies,159,Letter Grade,Spec Top Afam Lit
19,Frederick Vincent; Robert Allen,4,African American Studies,159,Letter Grade,Spec Top Afam Lit
5,Frederick Vincent; Robert Allen,3.7,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent; Robert Allen,3.3,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent; Robert Allen,3,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent; Robert Allen,2,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent; Robert Allen,1.7,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent; Robert Allen,0,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent; Robert Allen,,African American Studies,159,Non-Letter Grade,Spec Top Afam Lit
1,Frederick Vincent; Robert Allen,,African American Studies,159,Non-Letter Grade,Spec Top Afam Lit
12,Erinn Ransom; Robert Allen,4,African American Studies,159,Letter Grade,Spec Top Afam Lit
2,Erinn Ransom; Robert Allen,3.7,African American Studies,159,Letter Grade,Spec Top Afam Lit
3,Erinn Ransom; Robert Allen,3.3,African American Studies,159,Letter Grade,Spec Top Afam Lit
2,Erinn Ransom; Robert Allen,3,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Erinn Ransom; Robert Allen,2.7,African American Studies,159,Letter Grade,Spec Top Afam Lit
2,Erinn Ransom; Robert Allen,0,African American Studies,159,Letter Grade,Spec Top Afam Lit
5,Erinn Ransom; Robert Allen,,African American Studies,159,Non-Letter Grade,Spec Top Afam Lit
3,Erinn Ransom; Robert Allen,,African American Studies,159,Non-Letter Grade,Spec Top Afam Lit
1,Aparajita Nanda,,African American Studies,197,Non-Letter Grade,Field Study
1,Robert Allen,,African American Studies,199,Non-Letter Grade,Superv Indep Study
2,Leigh Raiford,,African American Studies,199,Non-Letter Grade,Superv Indep Study
1,Brandi Catanese,4,African American Studies,299,Letter Grade,Ind Stdy/Res
2,Ann Harrison,,Ag & Resource Econ & Pol,298,Non-Letter Grade,Special Study
4,David Zilberman,,Ag & Resource Econ & Pol,N299,Non-Letter Grade,Individual Research
1,Kathleen Moran,,American Studies,199,Non-Letter Grade,Superv Indep Study
5,Bonnie Glencross,4,Anthropology,1,Letter Grade,Intro To Bio Anthro
13,Bonnie Glencross,4,Anthropology,1,Letter Grade,Intro To Bio Anthro
9,Bonnie Glencross,3.7,Anthropology,1,Letter Grade,Intro To Bio Anthro
3,Bonnie Glencross,3.3,Anthropology,1,Letter Grade,Intro To Bio Anthro
3,Bonnie Glencross,3,Anthropology,1,Letter Grade,Intro To Bio Anthro
2,Bonnie Glencross,2.7,Anthropology,1,Letter Grade,Intro To Bio Anthro
1,Bonnie Glencross,2.3,Anthropology,1,Letter Grade,Intro To Bio Anthro
1,Bonnie Glencross,1.3,Anthropology,1,Letter Grade,Intro To Bio Anthro
4,Bonnie Glencross,,Anthropology,1,Non-Letter Grade,Intro To Bio Anthro
4,Kevin Karpiak; Rosemary Joyce,4,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
9,Kevin Karpiak; Rosemary Joyce,4,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
8,Kevin Karpiak; Rosemary Joyce,3.7,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
3,Kevin Karpiak; Rosemary Joyce,3.3,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
6,Kevin Karpiak; Rosemary Joyce,3,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
2,Kevin Karpiak; Rosemary Joyce,2.7,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
1,Kevin Karpiak; Rosemary Joyce,2.3,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
2,Kevin Karpiak; Rosemary Joyce,2,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
1,Kevin Karpiak; Rosemary Joyce,1,Anthropology,3AC,Letter Grade,Intro Soc/Cult Ac
11,Kevin Karpiak; Rosemary Joyce,,Anthropology,3AC,Non-Letter Grade,Intro Soc/Cult Ac
1,Kent Lightfoot,,Anthropology,99,Non-Letter Grade,Superv Indep Study
1,Margaret Conkey,,Anthropology,99,Non-Letter Grade,Superv Indep Study
1,Terrence Deacon,,Anthropology,99,Non-Letter Grade,Superv Indep Study
12,Christopher Roebuck,4,Anthropology,115,Letter Grade,Intro Med Anthro
1,Christopher Roebuck,3.7,Anthropology,115,Letter Grade,Intro Med Anthro
