Enrollment Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
1,10105,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
2,10105,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
7,10105,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
2,10105,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
5,10105,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
2,10105,Aparajita Nanda,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
2,10105,Aparajita Nanda,0,African American Studies,R1A,Letter Grade,Fresh Composition
5,10115,Lia Bascomb; Nailah Suad-Bakari,3.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
3,10115,Lia Bascomb; Nailah Suad-Bakari,3.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
5,10115,Lia Bascomb; Nailah Suad-Bakari,3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
4,10115,Lia Bascomb; Nailah Suad-Bakari,2.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,10115,Lia Bascomb; Nailah Suad-Bakari,2.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,10115,Lia Bascomb; Nailah Suad-Bakari,2,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,10120,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
2,10120,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
6,10120,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
9,10120,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10120,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,10120,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
4,10130,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
6,10130,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
6,10130,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,10130,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
5,10130,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,1.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,1,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,,African American Studies,R1B,Non-Letter Grade,Freshmn Composition
1,10140,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10140,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10140,G. Ugo Nwokeji,3.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
4,10140,G. Ugo Nwokeji,3.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10140,G. Ugo Nwokeji,3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10140,G. Ugo Nwokeji,2.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10140,G. Ugo Nwokeji,2,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10140,G. Ugo Nwokeji,0,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,10150,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
10,10150,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
2,10150,Arif Gamal,3.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
2,10150,Arif Gamal,3.3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
3,10150,Arif Gamal,3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,10150,Arif Gamal,2.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
7,10150,Arif Gamal,2,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
2,10150,Arif Gamal,,African American Studies,4B,Non-Letter Grade,Africa:  Hist & Cul
1,10150,Arif Gamal,,African American Studies,4B,Non-Letter Grade,Africa:  Hist & Cul
1,10160,Cara Stanley,4,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
1,10160,Cara Stanley,4,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,10160,Cara Stanley,3.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
6,10160,Cara Stanley,3.3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,10160,Cara Stanley,3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,10160,Cara Stanley,2.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,10160,Cara Stanley,1.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
1,10160,Cara Stanley,,African American Studies,39D,Non-Letter Grade,Fresh/Soph Seminar
