"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","100","6386","AF AM DANCE COMPNY FOUNDATIONS","Rosa,Iris","9","10","4","3.26","0","100","0","0","0","1","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","110","6387","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","14","18","3.693","3.274","0","71.4","28.6","0","0","4","0","8","2","2","1","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","112","31006","BLACK MUSIC OF TWO WORLDS","Burnim,Mellonee Victoria","16","25","2.413","2.751","0","0","56.3","25","18.8","9","0","0","0","1","6","2","1","3","0","2","1","0","0","6","3","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","113","33229","ATKINS LLC FOUNDATIONAL COURSE","Khan-Thomas,Zeba Yvonne","26","26","3.954","2.8","0","100","0","0","0","0","9","13","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","150","6389","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","132","162","2.833","2.884","2.1","34.1","39.4","12.9","5.3","41","7","17","21","15","24","13","9","5","3","4","2","1","11","9","20","1","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","154","36203","HISTORY OF RACE IN AMERICAS","Mahady,Anne E.","18","23","3.267","2.744","0","61.1","11.1","27.8","0","5","2","5","4","1","0","1","1","3","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","210","13662","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","29","36","3.231","2.956","3","44.8","44.8","3.4","3.4","8","0","9","4","5","6","2","0","1","0","0","1","0","1","4","3","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","8W2","Eight Week - Second","AAAD","AAAD-A","221","8380","DANCE IN THE AFRICAN DIASPORA","Rosa,Iris","22","37","2.909","2.784","0","50","18.2","13.6","9.1","17","4","4","3","3","1","0","2","0","1","0","1","1","2","5","10","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","263","13665","CONTEMP SOC ISS-AFR AMER COMM","Hamilton Abegunde,Maria Eliza","9","19","3.478","2.68","18.2","55.6","33.3","11.1","0","10","2","2","1","2","1","0","0","1","0","0","0","0","0","2","8","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","264","7330","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","97","109","3.168","2.74","1","45.4","38.1","8.2","7.2","13","7","22","15","10","17","10","6","1","1","2","4","1","1","5","7","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","295","10783","SURVEY OF HIP HOP","Orejuela,Fernando","83","99","3.096","3.047","0","31.3","49.4","16.9","2.4","16","5","11","10","12","19","10","9","3","2","1","1","0","0","6","9","1","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","8W2","Eight Week - Second","AAAD","AAAD-A","298","36563","SPEC TPCS SOC&HIST FOR AAADS","Smith,Candis D","16","23","3.219","2.804","0","56.3","31.3","6.3","0","8","3","4","2","0","2","3","0","1","0","0","0","0","1","1","6","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","337","33233","SOUL REVUE ADV STU PRACT","Taliefero,Crystal Louise","10","12","4","2.98","0","100","0","0","0","2","0","10","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","355","6390","AFRICAN-AMERICAN HISTORY I","Grim,Valerie","36","56","2.767","2.763","4.3","22.2","50","22.2","0","22","0","3","5","3","6","9","3","5","0","0","0","0","2","10","10","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","379","6391","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","33","39","3.479","2.997","8.3","45.5","51.5","3","0","6","0","8","7","12","5","0","1","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","387","15581","BLACK MIGRATION","Smith,Candis D","9","13","2.867","2.61","18.2","33.3","33.3","33.3","0","4","0","1","2","0","2","1","0","2","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","427","14595","CROSS-CULTURAL COMMUNICATION","Calloway-Thomas,Carolyn","6","10","2.983","2.986","0","0","83.3","16.7","0","4","0","0","0","3","1","1","1","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","500","12036","INTR AFRC AM&AFRC DIASP PART I","Grim,Valerie","8","9","3.538","3.622","22.2","50","50","0","0","1","0","2","2","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","579","8576","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","7","8","4","3.882","28.6","100","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AAAD","AAAD-A","692","32147","WR & LIT IN AFRC AM&AFRC DIASP","Wester,Maisha","7","7","3.586","3.839","85.7","71.4","28.6","0","0","0","0","3","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AADM","AADM-Y","500","34854","TOPICS IN ARTS ADMINISTRATION","Pantaloni III,Nazareth","25","26","3.856","3.717","84.6","88","12","0","0","1","10","8","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-20-2017",
"Fall 2016","4168","1","Regular Academic Session","AADM","AADM-Y","502","13718","INTRO ARTS ADMIN & ORG BEHVIOR","Wilkerson,Michael Neil","32","35","4","3.739","90.9","100","0","0","0","3","0","32","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","01-20-2017",
