DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
AAAD,100,AFRICAN AMERICAN DANCE COMPANY,"Rosa,Iris",7,11,4,2.847,100,0,0,0,0
AAAD,110,AFRICAN AMERCN CHORAL ENSEMBLE,"Wise,Raymond",13,22,3.692,2.973,76.9,15.4,7.7,0,0
AAAD,120,SOUL REVUE,"Cooper,Tyron",21,22,4,2.69,100,0,0,0,0
AAAD,132,RECENT AAAD LITERATURE,"Khan-Thomas,Zeba Yvonne",23,27,3.313,2.76,43.5,52.2,4.3,0,1
AAAD,150,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",126,148,3.111,3,44.4,37.3,10.3,5.6,12
AAAD,154,HISTORY OF RACE IN AMERICAS,"Jones,Caralee Georgianna",42,52,3.188,3.088,40.5,45.2,11.9,2.4,4
AAAD,169,INTRO TO AFRICAN AMERICAN LIT,"Louis,Diana Martha",27,36,3.1,2.714,55.6,29.6,0,0,3
AAAD,210,BLACK WOMEN IN THE DIASPORA,"Smith,Candis D",27,28,2.889,2.774,29.6,48.1,18.5,0,0
AAAD,263,CONTEMP SOC ISS-AFR AMER COMM,"Hamilton Abegunde,Maria Eliza",26,33,3.323,2.742,73.1,11.5,3.8,0,4
AAAD,264,HIST SPORT&AFRO-AMERICAN EXPER,"Sailes,Gary A.",94,102,3.532,2.779,64.9,29.8,3.2,1.1,2
AAAD,295,SURVEY OF HIP HOP,"Orejuela,Fernando",87,96,2.802,2.981,20.7,50.6,21.8,3.4,3
AAAD,331,VISUAL ARTS HARLEM RENAISSANCE,"Wolfskill,Phoebe",19,24,2.979,2.819,47.4,21.1,26.3,5.3,1
AAAD,355,AFRICAN-AMERICAN HISTORY I,"Smith,April Faye",35,48,3.551,2.778,60,34.3,5.7,0,5
AAAD,359,ETHNIC/RACIAL FILM STEREOTYPES,"Wester,Maisha",23,32,2.026,2.776,17.4,30.4,17.4,17.4,4
AAAD,379,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",36,44,3.547,2.774,63.9,36.1,0,0,4
AAAD,399,ADV TPCS ARTS&HUMANITIES AAADS,"Wolfskill,Phoebe",6,6,2.6,2.807,16.7,50,16.7,0,0
AAAD,427,CROSS-CULTURAL COMMUNICATION,"Calloway-Thomas,Carolyn",12,18,3.35,3.023,58.3,33.3,8.3,0,2
AAAD,480,THE BLACK NOVEL,"Wester,Maisha",7,8,2.3,2.711,42.9,14.3,0,28.6,0
AAAD,493,SENIOR SEMINAR IN AAADS,"McElroy,Frederick L.",7,8,3.671,2.833,71.4,28.6,0,0,0
AAAD,500,INTR AFRC AM&AFRC DIASP PART I,"Grim,Valerie",9,11,3.856,3.317,88.9,11.1,0,0,0
AAAD,556,RACE&CULTURE-AFRICAN DIASPORA,"Calloway-Thomas,Carolyn",9,9,3.744,3.729,77.8,22.2,0,0,0
AAAD,579,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",7,7,3.957,3.977,100,0,0,0,0
AAAD,605,"RACE AND GLOBAL CITY, PART I","Grim,Valerie",9,11,3.744,3.719,77.8,22.2,0,0,0
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Preston,Corinne Teresa",7,7,3.771,3.705,85.7,14.3,0,0,0
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Woronkowicz,Joanna",17,19,3.871,3.843,94.1,5.9,0,0,0
AADM,502,INTRO ARTS ADMIN & ORG BEHVIOR,"Wilkerson,Michael Neil",36,40,3.942,3.851,100,0,0,0,0
AADM,511,PERFORMING ARTS CENTER MGMT,"Booher,Douglas D",29,30,3.966,3.792,96.6,3.4,0,0,0
AADM,525,MUSEUM MANAGEMENT,"Lewis,Frank",27,27,3.73,3.812,74.1,25.9,0,0,0
AADM,530,AUDIENCE DEV & MRKTG THE ARTS,"Wilkerson,Michael Neil",40,42,3.94,3.781,100,0,0,0,0
AADM,535,ARTS ADMIN & CULTURAL SECTOR,"Owens,Joshua Devin",26,26,3.65,3.784,73.1,26.9,0,0,0
AADM,650,SEMINAR IN ARTS ADMINISTRATION,"Nicholson-Crotty,Jill",29,29,3.655,3.742,65.5,34.5,0,0,0
AAST,101,INTR TO ASIAN AMERICAN STUDIES,"Lee,Jennifer Catherine",16,23,2.938,3.006,43.8,12.5,37.5,6.3,1
AAST,201,ASIAN DIASPORA EXPERIENCE,"Kwong,Lisa",28,47,3.818,3.339,89.3,10.7,0,0,1
AERO,101,INTRO TO THE AIR FORCE TODAY,"Hoadley,Michael A.",21,24,3.857,3.05,85.7,14.3,0,0,3
AERO,201,EVOLUTION USAF AIR & SPACE PWR,"Frierson,Roy",16,17,3.675,3.173,75,25,0,0,0
AERO,301,AIR FORCE LEADERSHIP STUDIES,"Frierson,Roy",13,13,3.931,3.449,100,0,0,0,0
AERO,401,NATL SEC AFFRS/PREP ACTV DUTY,"Hoadley,Michael A.",6,6,3.617,3.396,66.7,33.3,0,0,0
AFRI,100,TOPICS IN AFRI SOCIETY&CULTURE,"Dlamini,Betty Sibongile",58,84,3.888,2.994,91.4,8.6,0,0,2
AFRI,232,CONTEMPORARY AFRICA,"Bentil-Mawusi,Nana Aba",30,39,3.44,3.152,60,30,3.3,3.3,1
AMID,181,DESIGN: CREATIVE REVOLUTION,"Wilson,Thomas Kelly",16,21,3.413,2.943,43.8,50,6.3,0,3
AMID,168,INTERIOR DESIGN STUDIO 1,"Racek,Jonathan",28,42,3.332,3.047,46.4,39.3,14.3,0,2
AMID,191,DESIGN STUDIES:FORM & FUNCTION,"Smith,Kennon Michelle",27,33,3.819,3.283,85.2,14.8,0,0,1
AMID,202,INTERIOR VISUALIZATION,"Wu,Jiangmei",13,15,3.331,3.082,53.8,38.5,0,0,0
AMID,264,DIGITAL ARCHITECTURAL DRAWING,"Kim,Jee Yea",10,12,3.3,3.015,40,50,10,0,2
AMID,268,ARCH THEORIES AND CONCEPTS,"Mitchell,C. Thomas",18,19,3.133,3.215,50,27.8,16.7,0,1
AMID,268,ARCH THEORIES AND CONCEPTS,"Mitchell,C. Thomas",10,11,2.86,3.121,30,40,20,0,1
AMID,271,INTERIOR DESIGN STUDIO 2,"Wu,Jiangmei",23,27,3.27,3.249,52.2,30.4,17.4,0,2
AMID,365,"ARCH, INT & FURN DSGN STUDIES","Smith,Kennon Michelle",17,17,3.671,3.331,70.6,29.4,0,0,0
AMID,373,INTERIOR DESIGN STUDIO 4,"Newman,Marleen",17,17,3.412,3.331,41.2,58.8,0,0,0
AMID,394,ADV DIGITAL ARCHITECTRL DRAWNG,"Racek,Jonathan",23,28,3.252,3.24,47.8,39.1,8.7,4.3,2
AMID,469,PROF PRACTICES-INTERIOR DESIGN,"Joyner,Louis D.",21,21,3.262,3.26,52.4,28.6,19,0,0
AMID,475,INTERIOR DESIGN STUDIO 6,"Racek,Jonathan",14,14,3.557,3.276,71.4,21.4,7.1,0,0
AMID,475,INTERIOR DESIGN STUDIO 6,"Kim,Jee Yea",7,8,3.686,3.237,85.7,14.3,0,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Keogh,Molly Dove",17,21,3.053,3.069,29.4,58.8,11.8,0,1
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Matranga,Mary Jane",16,18,3.425,3.306,56.3,37.5,6.3,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Matranga,Mary Jane",10,15,3.41,2.991,50,50,0,0,1
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Keogh,Molly Dove",22,22,2.841,3.12,22.7,50,22.7,4.5,0
AMID,203,INTRODUCTORY TEXTILE SCIENCE,"Matranga,Mary Jane",71,80,3.725,3.136,78.9,21.1,0,0,1
AMID,207,FASHION STUDIO I,"Frye,Lori E",14,15,3.05,3.028,28.6,57.1,7.1,7.1,0
AMID,207,FASHION STUDIO I,"Christiansen,Deborah Lynn",12,15,2.592,2.75,16.7,33.3,50,0,2
AMID,213,FASHN DSGN I:RSCH & ILLUSTRATN,"Matranga,Mary Jane",12,12,3.867,3.085,91.7,8.3,0,0,0
AMID,213,FASHN DSGN I:RSCH & ILLUSTRATN,"Matranga,Mary Jane",14,16,2.964,2.878,50,28.6,7.1,7.1,1
AMID,301,DRESS STUDIES:TPCS CLTRL ANLYS,"Embry,Mary Christine",31,42,3.239,3.148,38.7,48.4,12.9,0,3
AMID,305,FASHION STUDIO III,"Christiansen,Deborah Lynn",19,19,2.847,3.141,26.3,42.1,26.3,5.3,0
AMID,328,EXPER FASHN STUDIO:DIGITL APPL,"Orr,David A",9,11,3.244,3.125,77.8,11.1,0,0,1
AMID,340,HISTORY OF FASHION,"Rowold,Kathleen",30,36,3.453,3.028,60,26.7,10,3.3,3
AMID,402,CLLCTN MGMT-HIST TEXTLS&COSTMS,"Richardson,Kelly Gallett",9,11,3.522,3.169,66.7,22.2,11.1,0,0
AMID,411,DRESS STUDIES: BEHAVIORAL ANLS,"Lennon,Sharron J.",26,29,2.469,3.009,3.8,46.2,50,0,1
AMID,100,INTR RETAIL DSGN & MERCHANDSNG,"Christiansen,Deborah Lynn",113,128,3.119,3.156,43.4,36.3,15,3.5,6
AMID,100,INTR RETAIL DSGN & MERCHANDSNG,"Shaffer,Janis Lynn",108,135,2.78,2.93,22.2,50,19.4,1.9,9
AMID,204,APPAREL MFG & QUALITY ANALYSIS,"Bomberger,David Rick",46,49,3.32,3.084,43.5,47.8,6.5,2.2,0
AMID,204,APPAREL MFG & QUALITY ANALYSIS,"Bomberger,David Rick",43,48,3.272,3.029,41.9,44.2,14,0,1
AMID,308,BRAND MANAGEMENT & ADVERTISING,"Hasty,Ashley",29,37,3.883,3.178,96.6,3.4,0,0,0
AMID,308,BRAND MANAGEMENT & ADVERTISING,"Hasty,Ashley",30,39,3.98,3.272,100,0,0,0,0
AMID,309,STRATEGIES IN RETAIL PROMOTION,"Hasty,Ashley",25,29,3.868,3.22,88,12,0,0,0
AMID,315,PRINCIPLES-RETAIL MERCHANDISNG,"Shaffer,Janis Lynn",47,56,3.134,3.127,36.2,46.8,17,0,2
