DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
AAAD,100,AFRICAN AMERICAN DANCE COMPANY,"Rosa,Iris",7,10,4,3.128,100,0,0,0,0
AAAD,110,AFRICAN AMERCN CHORAL ENSEMBLE,"Wise,Raymond",16,19,3.925,3.113,100,0,0,0,0
AAAD,120,SOUL REVUE,"Cooper,Tyron",19,21,4,2.734,100,0,0,0,0
AAAD,150,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",167,204,3.267,2.998,52.7,29.9,13.8,1.8,10
AAAD,156,JIM CROW AND APARTHEID,"Jones,Caralee Georgianna",23,30,3.043,3.155,47.8,21.7,21.7,4.3,2
AAAD,203,STUDYING BLACKS OF NEW WORLD,"Smith,Candis D",9,14,2.222,2.662,22.2,22.2,22.2,22.2,2
AAAD,210,BLACK WOMEN IN THE DIASPORA,"Smith,Candis D",27,33,2.741,2.785,22.2,48.1,18.5,3.7,5
AAAD,238,COMMUNICATION IN BLACK AMERICA,"Calloway-Thomas,Carolyn",23,44,2.961,2.737,26.1,56.5,13,0,10
AAAD,243,RACE REPRESENTATION AMER ART,"Wolfskill,Phoebe",18,20,3.1,3.017,33.3,50,16.7,0,1
AAAD,249,AFRICAN AMERICAN AUTOBIOGRAPHY,"McElroy,Frederick L.",30,34,3.433,2.949,53.3,46.7,0,0,1
AAAD,250,U.S. CONTEMPORARY MINORITIES,"Khan-Thomas,Zeba Yvonne",25,26,3.156,2.756,44,44,0,4,0
AAAD,265,MODRN SPORTS & AFRO-AMER EXPER,"Sailes,Gary A.",87,97,3.252,2.732,44.8,40.2,13.8,0,5
AAAD,295,SURVEY OF HIP HOP,"Orejuela,Fernando",80,102,2.99,3.063,26.3,48.8,22.5,1.3,5
AAAD,297,POPULAR MUSIC OF BLACK AMERICA,"Cooper,Tyron",19,24,3.132,2.928,36.8,47.4,15.8,0,2
AAAD,332,ART OF CIVIL RIGHTS MOVEMENT,"Wolfskill,Phoebe",22,27,3.25,3.064,36.4,59.1,4.5,0,0
AAAD,345,HIP HOP MUSIC AND CULTURE,"Orejuela,Fernando",12,24,2.825,2.825,16.7,41.7,41.7,0,2
AAAD,356,AFRICAN-AMERICAN HISTORY II,"Williams,Jakobi",21,30,2.538,2.468,19,38.1,28.6,4.8,6
AAAD,380,CONTEMP BLACK AMER WRITING,"McElroy,Frederick L.",26,46,3.619,3.237,76.9,23.1,0,0,0
AAAD,408,"RACE, GENDER AND CLASS","Smith,Candis D",27,40,2.8,2.798,25.9,48.1,14.8,0,6
AAAD,557,RACE&POLITICS-AFRICAN DIASPORA,"Grim,Valerie",11,11,3.891,3.852,100,0,0,0,0
AAAD,690,CORE RDGS IN AFRO-AMER STUDIES,"Grim,Valerie",8,8,3.425,3.666,50,50,0,0,0
AAAD,696,INTERDISCIPLINARY RSCH METHODS,"Grim,Valerie",10,11,3.73,3.711,70,30,0,0,1
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Lewis,Frank",6,7,3.75,3.472,100,0,0,0,0
AADM,504,ARTS ORGS IN PUBL & PRIVT SECT,"Woronkowicz,Joanna",29,29,3.503,3.699,62.1,27.6,6.9,3.4,0
AADM,505,PROGRAMMNG THE PERFORMING ARTS,"Herzig,Monika Gm",11,12,3.7,3.921,90.9,0,0,9.1,0
AADM,522,IT APPLICATIONS FOR THE ARTS,"Payne,Christopher J",13,18,3.585,3.697,53.8,46.2,0,0,2
AADM,530,AUDIENCE DEV & MRKTG THE ARTS,"Wilkerson,Michael Neil",32,33,3.906,3.727,100,0,0,0,1
AADM,559,PUBLIC POLICY AND THE ARTS,"Wilkerson,Michael Neil",9,10,3.967,3.836,100,0,0,0,0
AADM,750,INTERNSHIP IN ARTS ADMIN,"Wilkerson,Michael Neil",19,19,4,3.762,100,0,0,0,0
AAST,101,INTR TO ASIAN AMERICAN STUDIES,"Kwong,Lisa",37,54,3.549,2.929,75.7,16.2,5.4,0,2
ABEH,200,ANIMAL BEHAVIOR WORKSHOP,"Smith,Adam Ray",28,28,3.189,3.112,46.4,39.3,7.1,0,0
ABEH,400,ADV WORKSHOP IN ANIMAL BEHAVR,"Smith,Adam Ray",17,17,3.624,3.305,58.8,41.2,0,0,0
ABEH,501,SEM INTEG STDY OF ANM BEH,"Ketterson,Ellen D.",7,7,4,3.897,100,0,0,0,0
AERO,102,THE AIR FORCE TODAY II,"Hoadley,Michael A.",15,15,3.78,3.15,80,20,0,0,0
AERO,202,THE DEV OF AIR POWER II,"Frierson,Roy",11,11,2.918,3.066,18.2,63.6,18.2,0,0
AERO,302,AIR FORCE MGMT & LEADERSHIP II,"Frierson,Roy",12,13,3.875,3.461,100,0,0,0,0
AFRI,731,SEMINAR ON CONTEMPORARY AFRICA,"Buggenhagen,Beth Anne",6,6,4,3.766,100,0,0,0,0
AFRI,232,CONTEMPORARY AFRICA,"Bentil-Mawusi,Nana Aba",27,37,3.604,3.123,77.8,14.8,7.4,0,2
AMID,181,DESIGN: CREATIVE REVOLUTION,"Wilson,Thomas Kelly",16,23,2.856,2.914,12.5,68.8,12.5,6.3,1
AMID,381,TOPIC ISSUES IN COLLBRTV DSGN,"Lair,Kevin Stanley",10,12,3.91,3.066,100,0,0,0,1
AMID,168,INTERIOR DESIGN STUDIO 1,"Kim,Jee Yea",28,39,3.389,2.755,60.7,25,7.1,3.6,1
AMID,191,DESIGN STUDIES:FORM & FUNCTION,"Smith,Kennon Michelle",32,40,3.472,3.168,75,15.6,0,3.1,0
AMID,201,3D MODELING DSGN/DGTL FABRCTN,"Racek,Jonathan",19,22,3.479,3.373,57.9,36.8,5.3,0,1
AMID,263,DESIGN METHODS,"Mitchell,C. Thomas",12,14,3.367,3.199,50,41.7,8.3,0,0
AMID,263,DESIGN METHODS,"Mitchell,C. Thomas",10,11,3.41,3.456,60,30,10,0,1
AMID,264,DIGITAL ARCHITECTURAL DRAWING,"Kim,Jee Yea",22,29,2.991,2.96,54.5,13.6,22.7,0,1
AMID,272,INTERIOR DESIGN STUDIO 3,"Joyner,Louis D.",22,24,3.641,3.322,72.7,22.7,4.5,0,1
AMID,277,MTLS & COMPONENTS OF INT DES,"Joyner,Louis D.",22,24,3.468,3.322,45.5,54.5,0,0,1
AMID,374,INTERIOR DESIGN STUDIO 5,"Wu,Jiangmei",15,15,3.633,3.287,73.3,26.7,0,0,0
AMID,476,INTERIOR DESIGN STUDIO 7,"Newman,Marleen",8,8,3.963,3.47,100,0,0,0,0
AMID,476,INTERIOR DESIGN STUDIO 7,"Racek,Jonathan",13,13,3.738,3.228,69.2,30.8,0,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Keogh,Molly Dove",17,21,3.465,3.002,64.7,29.4,5.9,0,1
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Keogh,Molly Dove",15,18,3.553,3.096,60,33.3,6.7,0,1
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Shah,Anushree",19,24,3.547,2.899,63.2,31.6,5.3,0,1
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Shah,Anushree",15,21,3.8,3.135,86.7,6.7,6.7,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Shah,Anushree",18,23,3.511,3.221,66.7,27.8,5.6,0,0
AMID,203,INTRODUCTORY TEXTILE SCIENCE,"Embry,Mary Christine",113,136,3.003,3.097,32.7,40.7,21.2,4.4,6
AMID,213,FASHN DSGN I:RSCH & ILLUSTRATN,"Matranga,Mary Jane",23,23,3.057,3.101,30.4,56.5,4.3,4.3,0
AMID,217,FASHION DESIGN II:  IDEATION,"Matranga,Mary Jane",22,22,3.495,2.997,68.2,22.7,9.1,0,0
AMID,303,FASHION STUDIO II,"Frye,Lori E",21,23,2.757,2.992,23.8,42.9,28.6,4.8,0
AMID,328,EXPER FASHN STUDIO:DIGITL APPL,"Orr,David A",11,11,3.727,3.126,72.7,27.3,0,0,0
AMID,340,HISTORY OF FASHION,"Hasty,Ashley",33,37,3.736,3.371,84.8,12.1,3,0,0
AMID,406,DRESS STUDIES: THEORY&ANALYSIS,"Christiansen,Deborah Lynn",27,30,3.715,3.156,85.2,11.1,3.7,0,1
AMID,408,EXPER FASHION STUDIO: DRAPING,"Matranga,Mary Jane",9,9,3.378,3.035,55.6,33.3,11.1,0,0
AMID,417,FASHN DSGN III:PRESENTATN&ANLS,"Christiansen,Deborah Lynn",15,15,3.647,3.14,66.7,33.3,0,0,0
AMID,100,INTR RETAIL DSGN & MERCHANDSNG,"Shaffer,Janis Lynn",130,157,2.97,3.008,36.2,42.3,12.3,8.5,9
AMID,204,APPAREL MFG & QUALITY ANALYSIS,"Akou,Heather Marie",48,58,3.733,3.113,85.4,12.5,2.1,0,0
AMID,308,BRAND MANAGEMENT & ADVERTISING,"Hasty,Ashley",41,54,3.768,3.258,80.5,19.5,0,0,4
AMID,309,STRATEGIES IN RETAIL PROMOTION,"Hasty,Ashley",19,24,3.847,3.13,89.5,10.5,0,0,1
AMID,315,PRINCIPLES-RETAIL MERCHANDISNG,"Shaffer,Janis Lynn",36,44,3.1,3.122,27.8,55.6,13.9,2.8,4
AMID,315,PRINCIPLES-RETAIL MERCHANDISNG,"Shaffer,Janis Lynn",18,22,3.294,3.2,33.3,61.1,5.6,0,3
AMID,321,PRACTICUM IN RETAIL INDUSTRY,"Christiansen,Deborah Lynn",21,21,4,3.359,100,0,0,0,0
AMID,327,PRODUCT DEVELOPMENT,"Bomberger,David Rick",33,35,3.739,3.24,78.8,18.2,3,0,0
AMID,328,DIGITAL PRODUCT DEVELOPMENT,"Paul,Eloise Kim",22,23,3.555,3.131,81.8,4.5,9.1,4.5,0
