DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W,WX,I,R
AAAD,100,AF AM DANCE COMPNY FOUNDATIONS,"Rosa,Iris",9,9,4,3.35,100,0,0,0,0,0,0,0
AAAD,110,AF AM CHORAL ENSEMBL FOUNDATNS,"Wise,Raymond",13,19,3.7,3.14,84.6,7.7,7.7,0,2,1,0,0
AAAD,113,ATKINS LLC FOUNDATIONAL COURSE,"Khan-Thomas,Zeba Yvonne",12,12,3.842,2.656,91.7,8.3,0,0,0,0,0,0
AAAD,120,SOUL REVUE FOUNDATIONS,"Taliefero,Crystal Louise",9,10,4,3.219,100,0,0,0,1,0,0,0
AAAD,150,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",147,168,2.8,2.853,36.7,31.3,17,6.8,7,14,0,0
AAAD,156,JIM CROW AND APARTHEID,"Mahady,Anne E.",27,32,3.407,3.1,63,22.2,11.1,0,2,3,0,0
AAAD,203,STUDYING BLACKS OF NEW WORLD,"Smith,Candis D",32,36,2.756,2.625,21.9,50,18.8,6.3,0,4,0,0
AAAD,210,BLACK WOMEN IN THE DIASPORA,"Smith,Candis D",26,30,2.6,2.691,19.2,46.2,23.1,7.7,1,3,0,0
AAAD,238,COMMUNICATION IN BLACK AMERICA,"Calloway-Thomas,Carolyn",25,39,2.972,2.658,24,60,16,0,6,3,5,0
AAAD,249,AFRICAN AMERICAN AUTOBIOGRAPHY,"McElroy,Frederick L.",29,32,3.5,2.914,55.2,44.8,0,0,0,1,2,0
AAAD,265,MODRN SPORTS & AFRO-AMER EXPER,"Sailes,Gary A.",125,141,3.043,2.799,40,36.8,16,4.8,3,13,0,0
AAAD,290,SOCIOCLTRL PERSP-AFR AMER MUS,"Cohen,Judah M",12,21,2.592,2.803,25,50,8.3,0,3,6,0,0
AAAD,295,SURVEY OF HIP HOP,"Orejuela,Fernando",76,97,3.104,3.026,35.5,43.4,19.7,1.3,13,7,1,0
AAAD,337,SOUL REVUE ADV STU PRACT,"Taliefero,Crystal Louise",6,6,4,2.824,100,0,0,0,0,0,0,0
AAAD,352,AFRI AM ART II:AFRI AM ARTISTS,"Wolfskill,Phoebe",13,14,3.108,3.183,38.5,46.2,7.7,7.7,1,0,0,0
AAAD,356,AFRICAN-AMERICAN HISTORY II,"Grim,Valerie",20,22,2.655,2.58,20,35,40,5,0,2,0,0
AAAD,359,ETHNIC/RACIAL FILM STEREOTYPES,"Wester,Maisha",22,39,2.4,2.592,18.2,40.9,18.2,13.6,13,4,0,0
AAAD,380,CONTEMP BLACK AMER WRITING,"McElroy,Frederick L.",20,31,3.58,2.988,55,45,0,0,0,11,0,0
AAAD,420,TRANSFORMNG DIV COMM&SOCIETIES,"Calloway-Thomas,Carolyn",10,21,2.65,2.747,30,40,20,0,6,4,1,0
AAAD,481,RACISM AND THE LAW,"Motley,Frank",8,16,2.963,2.906,50,25,12.5,0,6,2,0,0
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Lewis,Frank",7,7,3.814,3.593,85.7,14.3,0,0,0,0,0,0
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Kuhar,Ursula Maria",12,13,3.783,3.811,83.3,16.7,0,0,0,1,0,0
AADM,504,ARTS ORGS IN PUBL & PRIVT SECT,"Rushton,Michael",32,33,3.819,3.791,87.5,12.5,0,0,0,0,0,0
AADM,522,IT APPLICATIONS FOR THE ARTS,"Farmer,Heather E",7,9,3.529,3.772,71.4,14.3,14.3,0,0,1,0,0
AADM,530,AUDIENCE DEV & MRKTG THE ARTS,"Woronkowicz,Joanna",29,29,3.838,3.816,86.2,10.3,3.4,0,0,0,0,0
AADM,559,PUBLIC POLICY AND THE ARTS,"Wilkerson,Michael Neil",7,7,3.957,3.815,100,0,0,0,0,0,0,0
AADM,750,INTERNSHIP IN ARTS ADMIN,"Redman,Miranda Darlene",8,8,4,3.574,100,0,0,0,0,0,0,0
AAST,101,INTR TO ASIAN AMERICAN STUDIES,"Kwong,Lisa",36,45,3.803,3.039,86.1,13.9,0,0,3,5,0,0
ABEH,200,ANIMAL BEHAVIOR WORKSHOP,"Smith,Adam Ray",27,28,3.585,3.207,66.7,25.9,3.7,0,0,1,0,0
ABEH,400,ADV WORKSHOP IN ANIMAL BEHAVR,"Smith,Adam Ray",22,22,3.914,3.161,95.5,4.5,0,0,0,0,0,0
ABEH,401,TOPICS IN ANIMAL BEHAVIOR,"Hurley,Laura M.",11,12,3.573,3.314,54.5,45.5,0,0,0,1,0,0
AERO,102,THE AIR FORCE TODAY II,"Frierson,Roy",14,18,3.471,3.077,71.4,14.3,7.1,0,4,0,0,0
AERO,202,THE DEV OF AIR POWER II,"Frierson,Roy",7,7,3.871,2.946,100,0,0,0,0,0,0,0
AERO,302,AIR FORCE MGMT & LEADERSHIP II,"Schimp,Dustin Tyler",7,7,3.614,3.221,57.1,42.9,0,0,0,0,0,0
AERO,402,NTL SEC FRC IN CONT AM SOC II,"Heil,Matthew S.",12,12,3.792,3.487,91.7,8.3,0,0,0,0,0,0
AFRI,232,CONTEMPORARY AFRICA,"Bradford,Lewis Addison",27,31,3.556,3.189,66.7,22.2,11.1,0,0,1,0,0
AMID,181,DESIGN: CREATIVE REVOLUTION,"Wilson,Thomas Kelly",8,12,2.975,2.942,37.5,50,0,12.5,1,3,0,0
