"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","100","7087","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","7","10","4","3.128","0","100","0","0","0","3","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","110","7088","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","16","19","3.925","3.113","10.5","100","0","0","0","3","0","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","120","7089","SOUL REVUE","Cooper,Tyron","19","21","4","2.734","0","100","0","0","0","2","12","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","150","7090","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","167","204","3.267","2.998",".6","52.7","29.9","13.8","1.8","40","23","40","25","10","25","15","11","11","1","2","1","0","3","10","26","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","156","29872","JIM CROW AND APARTHEID","Jones,Caralee Georgianna","23","30","3.043","3.155","0","47.8","21.7","21.7","4.3","8","4","3","4","2","2","1","3","2","0","0","1","0","1","2","5","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","203","29672","STUDYING BLACKS OF NEW WORLD","Smith,Candis D","9","14","2.222","2.662","0","22.2","22.2","22.2","22.2","6","0","1","1","2","0","0","0","2","0","0","1","1","1","2","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","210","29673","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","27","33","2.741","2.785","0","22.2","48.1","18.5","3.7","8","0","3","3","4","6","3","2","2","1","1","0","0","2","5","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","238","29669","COMMUNICATION IN BLACK AMERICA","Calloway-Thomas,Carolyn","23","44","2.961","2.737","3","26.1","56.5","13","0","22","0","1","5","4","6","3","2","0","1","0","0","0","1","10","11","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","243","31282","RACE REPRESENTATION AMER ART","Wolfskill,Phoebe","18","20","3.1","3.017","5.3","33.3","50","16.7","0","2","0","2","4","2","3","4","2","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","249","29662","AFRICAN AMERICAN AUTOBIOGRAPHY","McElroy,Frederick L.","30","34","3.433","2.949","0","53.3","46.7","0","0","4","0","4","12","7","2","5","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","250","29871","U.S. CONTEMPORARY MINORITIES","Khan-Thomas,Zeba Yvonne","25","26","3.156","2.756","4","44","44","0","4","3","2","6","3","6","5","0","0","0","0","0","1","0","2","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","265","7095","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","87","97","3.252","2.732","1.1","44.8","40.2","13.8","0","11","5","19","15","12","18","5","4","5","3","0","0","0","1","5","3","2","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","295","12152","SURVEY OF HIP HOP","Orejuela,Fernando","80","102","2.99","3.063","0","26.3","48.8","22.5","1.3","23","1","9","11","13","20","6","9","7","2","1","0","0","1","5","12","0","0","5","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","297","29646","POPULAR MUSIC OF BLACK AMERICA","Cooper,Tyron","19","24","3.132","2.928","0","36.8","47.4","15.8","0","5","0","0","7","3","4","2","2","0","1","0","0","0","0","2","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AAAD","AAAD-A","320","29647","BLACK DANCE HISTORY","Rosa,Iris","22","35","2.691","2.54","0","31.8","27.3","22.7","9.1","15","4","0","3","3","3","0","2","3","0","2","0","0","2","3","10","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","332","29660","ART OF CIVIL RIGHTS MOVEMENT","Wolfskill,Phoebe","22","27","3.25","3.064","0","36.4","59.1","4.5","0","5","0","3","5","3","8","2","0","0","1","0","0","0","0","0","4","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","345","31166","HIP HOP MUSIC AND CULTURE","Orejuela,Fernando","12","24","2.825","2.825","7.1","16.7","41.7","41.7","0","12","0","1","1","3","1","1","2","3","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","356","7112","AFRICAN-AMERICAN HISTORY II","Williams,Jakobi","21","30","2.538","2.468","7.4","19","38.1","28.6","4.8","11","0","2","2","5","3","0","1","2","3","0","1","0","2","6","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","380","9257","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","26","46","3.619","3.237","14.3","76.9","23.1","0","0","20","1","5","14","3","1","2","0","0","0","0","0","0","0","0","18","2","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AAAD","AAAD-A","398","35571","ADV TPCS IN SOCIAL&HIST AAADS","Hamilton Abegunde,Maria Eliza","7","14","3.286","2.45","0","57.1","14.3","28.6","0","7","0","4","0","0","1","0","0","2","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AAAD","AAAD-A","398","35602","ADV TPCS IN SOCIAL&HIST AAADS","Wester,Maisha","13","15","1.485","2.674","0","7.7","15.4","23.1","23.1","6","0","1","0","0","2","0","2","0","1","1","1","1","4","2","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AAAD","AAAD-A","399","12756","ADV TPCS ARTS&HUMANITIES AAADS","Wise,Raymond","12","21","3.7","2.794","8.3","75","25","0","0","9","0","5","4","2","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AAAD","AAAD-A","399","35573","ADV TPCS ARTS&HUMANITIES AAADS","Wester,Maisha","6","8","1.8","2.506","14.3","0","33.3","33.3","33.3","2","0","0","0","0","0","2","0","2","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","408","29674","RACE, GENDER AND CLASS","Smith,Candis D","27","40","2.8","2.798","6.1","25.9","48.1","14.8","0","16","0","6","1","4","8","1","1","2","1","0","0","0","3","6","7","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AAAD","AAAD-A","420","35574","TRANSFORMNG DIV COMM&SOCIETIES","Calloway-Thomas,Carolyn","13","18","2.877","2.563","0","15.4","76.9","0","0","6","0","2","0","3","2","5","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","557","29675","RACE&POLITICS-AFRICAN DIASPORA","Grim,Valerie","11","11","3.891","3.852","63.6","100","0","0","0","0","0","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","690","31322","CORE RDGS IN AFRO-AMER STUDIES","Grim,Valerie","8","8","3.425","3.666","87.5","50","50","0","0","0","0","1","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAAD","AAAD-A","696","29676","INTERDISCIPLINARY RSCH METHODS","Grim,Valerie","10","11","3.73","3.711","90.9","70","30","0","0","1","0","6","1","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AADM","AADM-Y","500","12376","TOPICS IN ARTS ADMINISTRATION","Lewis,Frank","6","7","3.75","3.472","85.7","100","0","0","0","1","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AADM","AADM-Y","504","30948","ARTS ORGS IN PUBL & PRIVT SECT","Woronkowicz,Joanna","29","29","3.503","3.699","89.7","62.1","27.6","6.9","3.4","0","0","17","1","4","3","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AADM","AADM-Y","505","8625","PROGRAMMNG THE PERFORMING ARTS","Herzig,Monika Gm","11","12","3.7","3.921","36.4","90.9","0","0","9.1","1","0","9","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AADM","AADM-Y","522","14410","IT APPLICATIONS FOR THE ARTS","Payne,Christopher J","13","18","3.585","3.697","82.4","53.8","46.2","0","0","5","0","6","1","3","3","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AADM","AADM-Y","530","30949","AUDIENCE DEV & MRKTG THE ARTS","Wilkerson,Michael Neil","32","33","3.906","3.727","66.7","100","0","0","0","1","0","22","10","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AADM","AADM-Y","559","12839","PUBLIC POLICY AND THE ARTS","Wilkerson,Michael Neil","9","10","3.967","3.836","40","100","0","0","0","1","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AADM","AADM-Y","750","3366","INTERNSHIP IN ARTS ADMIN","Wilkerson,Michael Neil","19","19","4","3.762","94.7","100","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AAST","AAST-A","101","15791","INTR TO ASIAN AMERICAN STUDIES","Kwong,Lisa","37","54","3.549","2.929","0","75.7","16.2","5.4","0","18","0","17","11","2","3","1","1","1","0","0","0","0","1","2","15","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","ABEH","ABEH-A","200","15580","ANIMAL BEHAVIOR WORKSHOP","Smith,Adam Ray","28","28","3.189","3.112","89.3","46.4","39.3","7.1","0","2","3","7","3","4","6","1","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","ABEH","ABEH-A","400","15579","ADV WORKSHOP IN ANIMAL BEHAVR","Smith,Adam Ray","17","17","3.624","3.305","94.1","58.8","41.2","0","0","0","4","4","2","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","ABEH","ABEH-A","501","15578","SEM INTEG STDY OF ANM BEH","Ketterson,Ellen D.","7","7","4","3.897","0","100","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AERO","AERO-A","102","3367","THE AIR FORCE TODAY II","Hoadley,Michael A.","15","15","3.78","3.15","0","80","20","0","0","0","3","6","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AERO","AERO-A","202","3370","THE DEV OF AIR POWER II","Frierson,Roy","11","11","2.918","3.066","0","18.2","63.6","18.2","0","0","0","0","2","2","3","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AERO","AERO-A","302","3373","AIR FORCE MGMT & LEADERSHIP II","Frierson,Roy","12","13","3.875","3.461","0","100","0","0","0","1","2","5","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AFRI","AFRI-A","731","8390","SEMINAR ON CONTEMPORARY AFRICA","Buggenhagen,Beth Anne","6","6","4","3.766","33.3","100","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W1","Eight Week - First","AFRI","AFRI-L","100","10349","TOPICS IN AFRI SOCIETY&CULTURE","Dlamini,Betty Sibongile","54","87","3.835","2.973","0","87","11.1","1.9","0","33","24","16","7","4","2","0","0","1","0","0","0","0","0","4","29","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AFRI","AFRI-L","100","12100","TOPICS IN AFRI SOCIETY&CULTURE","Sow,Amadou Beidy","60","81","3.55","2.849","0","55","45","0","0","21","0","10","23","23","4","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AFRI","AFRI-L","102","30241","AKAN SOC LIFE & CLTR HERITAGE","Adu-Amankwah,David","28","39","2.821","2.719","0","28.6","39.3","21.4","7.1","12","0","7","1","3","5","3","1","5","0","0","2","0","1","2","9","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W1","Eight Week - First","AFRI","AFRI-L","202","12687","OCCULTISM IN AFRICA","Adu-Amankwah,David","34","51","3.212","2.889","0","44.1","47.1","0","8.8","17","0","10","5","2","11","3","0","0","0","0","3","0","0","5","12","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AFRI","AFRI-L","232","12847","CONTEMPORARY AFRICA","Bentil-Mawusi,Nana Aba","27","37","3.604","3.123","0","77.8","14.8","7.4","0","10","3","9","9","0","3","1","1","1","0","0","0","0","0","2","8","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","AFRI","AFRI-L","400","12108","TOPICS IN AFRICAN STUDIES","Dlamini,Betty Sibongile","34","45","3.829","3.067","0","82.4","14.7","2.9","0","11","17","10","1","5","0","0","0","1","0","0","0","0","0","1","10","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-C","181","33901","DESIGN: CREATIVE REVOLUTION","Wilson,Thomas Kelly","16","23","2.856","2.914","23.5","12.5","68.8","12.5","6.3","7","0","0","2","1","9","1","1","1","0","0","1","0","0","1","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-C","381","31305","TOPIC ISSUES IN COLLBRTV DSGN","Lair,Kevin Stanley","10","12","3.91","3.066","36.4","100","0","0","0","2","1","6","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","NON","Non Standard Session","AMID","AMID-C","481","14423","INTNSV SEM COMPREHENSV DESIGN","Lair,Kevin Stanley","22","25","3.336","3.094","54.5","63.6","27.3","0","0","5","1","8","5","3","3","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","NON","Non Standard Session","AMID","AMID-C","481","14430","INTNSV SEM COMPREHENSV DESIGN","Lair,Kevin Stanley","18","24","3.933","3.16","31.6","100","0","0","0","6","3","11","4","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","NON","Non Standard Session","AMID","AMID-C","481","14437","INTNSV SEM COMPREHENSV DESIGN","Lair,Kevin Stanley","21","30","3.786","3.087","23.8","85.7","14.3","0","0","9","2","8","8","3","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","06-10-2016",
